,date,where,whose,totalPayment,info,category,type,cycle,note
0,2020-02-22,モザイクモール港北,Home,1028.0,Mosaic Mall,Unknown,Rakuten,202003,Manual confirmed unclear transaction
1,2020-02-19,ﾉ-ｽﾎﾟ-ﾄ･ﾓ-ﾙ,Home,1100.0,Northport mall,Unknown,Rakuten,202003,Manual confirmed unclear transaction
2,2020-02-19,ﾉ-ｽﾎﾟ-ﾄ･ﾓ-ﾙ,Home,649.0,Northport mall,Unknown,Rakuten,202003,Manual confirmed unclear transaction
3,2020-02-19,イオンリテール,Home,7091.0,AEON,Kids,Rakuten,202003,Manual confirmed unclear transaction
4,2020-02-16,ﾉ-ｽﾎﾟ-ﾄ･ﾓ-ﾙ,Home,7454.0,Northport mall,Unknown,Rakuten,202003,Manual confirmed unclear transaction
5,2020-02-16,モザイクモール港北,Home,530.0,Mosaic Mall,Unknown,Rakuten,202003,Manual confirmed unclear transaction
6,2020-02-14,ﾉ-ｽﾎﾟ-ﾄ･ﾓ-ﾙ,Home,5790.0,Northport mall,Unknown,Rakuten,202003,Manual confirmed unclear transaction
7,2020-02-14,ﾉ-ｽﾎﾟ-ﾄ･ﾓ-ﾙ,Home,1524.0,Northport mall,Unknown,Rakuten,202003,Manual confirmed unclear transaction
8,2020-02-14,ﾉ-ｽﾎﾟ-ﾄ･ﾓ-ﾙ,Home,890.0,Northport mall,Unknown,Rakuten,202003,Manual confirmed unclear transaction
9,2020-02-12,イオンリテール,Home,517.0,AEON,Kids,Rakuten,202003,Manual confirmed unclear transaction
10,2020-02-10,イオンリテール,Home,1868.0,AEON,Kids,Rakuten,202003,Manual confirmed unclear transaction
11,2020-02-07,ユニクロジーユーオンライン,Vit,440.0,Uniqlo Online,Fashion,Rakuten,202003,Manual confirmed unclear transaction
12,2020-02-05,モザイクモール港北,Home,580.0,Mosaic Mall,Unknown,Rakuten,202003,Manual confirmed unclear transaction
13,2020-02-01,モザイクモール港北,Home,522.0,Mosaic Mall,Unknown,Rakuten,202003,Manual confirmed unclear transaction
